#separator:tab
#html:true
#tags column:52
creepy (unease)	"<img src=""Hange_Crazy.JPG"">"	assustador	assustador	/ɐsuʃtɐˈdoɾ/	/asustaˈdoʁ/	adj m	Que provoca medo ou susto; aterrorizante.		creepy	/ˈkɹipi/	/ˈkriːpi/	adj	Causing an unpleasant feeling of fear or unease.	A ghostly atmosphere and strange goings-on. This film was just too creepy for me.	espeluznante						effrayant						gruselig						espantós						spaventoso												Curso::1C1 Curso::1C1::File_4 Curso::1C1::Vocabulary-Bank::Books-and-Films Voc::Film
keyboard (Computer)		teclado	o teclado	/u tɨˈkladu/	/u teˈkladu/	sm	Conjunto maior de teclas usado para digitar texto e comandos, geralmente em um computador.		keyboard	/ˈkʰiˌbɔrd/	/ˈkʰiːbɔːd/	n	A larger set of keys used to input text and commands, usually on a computer.		teclado						clavier						Tastatur						teclat						tastiera	tastiera											Curso::1C1 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Technology::2025
blackbird	"<img src=""_blackbird.JPG"">"	melro	o melro	u ˈmɛɫʁu	u ˈmɛwʁu	sm	Pássaro canoro de plumagem negra ou escura.		blackbird	ˈblækˌbɜ˞d	ˈblækbɜːd	n	A type of songbird with black plumage, common in Europe and North America.	A blackbird has nested in my garden.	mirlo						merle						Amsel						merla						merlo												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals Voc::Birds Voc::Crows
screen		ecrã	o ecrã	/u iˈkɾɐ̃/	/u iˈkɾɐ̃/	sm	Ecrã plano de um dispositivo eletrônico que exibe imagens e informações.		screen	/ˈskɹin/	/skriːn/	n	The flat panel on an electronic device that displays images and information.	My eyes are tired from looking at the screen all day.	pantalla						écran						Bildschirm						pantalla						schermo												Curso::1C1 Curso::1C1::File_6 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Phones Voc::Technology Voc::Technology::2025
touch screen		ecrã tátil	o ecrã tátil	/u iˈkɾɐ̃ ˈtatiɫ/	/u iˈkɾɐ̃ ˈtatʃiw/	sm	Ecrã que responde ao toque para interação do usuário.		touch screen	/ˈtʰətʃ ˈskɹin/	/tʌtʃ skriːn/	n	A type of screen that responds to touch for user interaction.	Some people find it difficult to use mobiles with touch screens.	pantalla táctil						écran tactile						Touchscreen						pantalla tàctil						schermo tattile												Curso::1C1 Curso::1C1::File_6 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Phones Voc::Technology Voc::Technology::2025
keypad		teclado numérico	o teclado numérico	/u tɨˈkladu nuˈmɛɾiku/	/u teˈkladu nuˈmɛɾiku/	sm	Pequeno conjunto de botões usado para entrada de dados, geralmente em telefones ou sistemas de segurança.		keypad	/ˈkʰiˌpæd/	/ˈkʰiːpæd/	n	A small set of buttons used for input, typically on a phone or security system.		teclado numérico						clavier numérique						Tastenfeld						teclat numèric						tastierino numerico												Curso::1C1 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Technology::2025
password		senha	a senha	/ɐ ˈsɐɲɐ/	/a ˈseɲɐ/	sf	Combinação secreta de caracteres usada para acessar um dispositivo ou conta.		password	/ˈpʰæsˌwɜ˞d/	/ˈpɑːswɜːd/	n	A secret combination of characters used to access a device or account. A secret word or phrase used for authentication.	Your password to access your online bank account shouldn’t be too easy to guess.	contraseña						mot de passe						Passwort						contrasenya						password												Curso::1C1 Curso::1C1::File_6 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Phones Voc::Technology Voc::Technology::2025
passcode		código de acesso	o código de acesso	/u ˈkɔdiɡu dɨ ɐˈsɛsu/	/u ˈkɔdʒiɡu dʒi aˈsɛsu/	sm	Código numérico, geralmente mais curto que uma senha, usado para acesso rápido a dispositivos.		passcode	/ˈpʰæs ˈkʰoʊd/	/ˈpʰɑːs ˈkʰəʊd/	n	A numerical code, often shorter than a password, used for quick access to devices.		código de acceso						"code d&#x27;accès"						Zugangscode						"codi d&#x27;accés"						codice di accesso												Curso::1C1 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Technology::2025
contacts (communication)		contactos	os contactos	/uʃ kõˈtaktuʃ/	/uʃ kõˈtaktus/	smp	Lista de números de telefone e informações armazenadas de pessoas ou organizações.		contacts	/ˈkʰɑnˌtækts/	/ˈkɒntækts/	n pl	A list of stored phone numbers and information for people or organizations. People whose details are stored for communication purposes.	I can give you her phone number if you want. She’s in my list of contacts.	contactos						contacts						Kontakte						contactes						contatti												Curso::1C1 Curso::1C1::File_6 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Phones Voc::Technology Voc::Technology::2025
settings (tech)		configurações	as configurações	/ɐʃ kõfiɡuɾɐˈsõj̃ʃ/	/aʃ kõfiɡuɾaˈsõj̃s/	sfp	Menu onde os usuários podem personalizar preferências e configurações do dispositivo.		settings	/ˈsɛtɪŋz/	/ˈsetɪŋz/	n	The menu where users can customize device preferences and configurations. Options that allow configuration of a device or application.	If you want to change the time on your mobile, go to the settings.	ajustes						paramètres						Einstellungen						configuracions						impostazioni												Curso::1C1 Curso::1C1::File_6 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Phones Voc::Technology Voc::Technology::2025
broadband		banda larga	a banda larga	/ɐ ˈbɐ̃dɐ ˈlaɾɡɐ/	/a ˈbɐ̃dɐ ˈlaʁɡɐ/	sf	Conexão de internet de alta velocidade que permite acesso contínuo.		broadband	/ˈbɹɔdˌbænd/	/ˈbrɔːdbænd/	n	A high-speed internet connection that allows continuous access.	If I didn’t have fast broadband , I wouldn’t be able to work from home.	banda ancha						bande large						Breitband						banda ampla						banda larga												Curso::1C1 Curso::1C1::File_6 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Phones Voc::Technology Voc::Technology::2025
