unless (conj)(pron)		a menos que							unless	/ənˈlɛs/	/ənˈles/	conj	Indicates an exception or condition.		a menos que						à moins que						es sei denn que						a menys que						a meno che
barren (adj)		estéril							barren	/ˈbɛrən/	/ˈbærᵊn/	adj	Land that is too poor to produce vegetation.		estéril						stérile						unfruchtbar						estèril						arido
shanty town		favela							shanty town	/ˈʃænti ˈtʰaʊn/	/ˈʃænti ˈtʰaʊn/	n	A settlement of improvised housing, usually in poor conditions.		chabola						bidonville						Elendsviertel						barraca						baraccopoli
blocker (n)(pron)		bloqueador							blocker	/ˈblɑkə˞/	/ˈblɒkə/	n	Something that prevents progress or action.		bloqueador						obstacle						Blocker						bloquejador						bloccante
bot (n)(pron)		bot							bot	/ˈbɑt/	/ˈbɒt/	n	A software application that runs automated tasks on the internet.		bot						bot						Bot						bot						bot
fall (v)(pron)		cair							fall	/ˈfɔl/	/ˈfɔːl/	v	To drop or descend due to gravity.		caer						tomber						fallen						caure						cadere
cemetery (spelling)		cemitério							cemetery	/ˈsɛməˌtɛri/	/ˈsemətri/	n	A place where the dead are buried.		cementerio						cimetière						Friedhof						cementeri						cimitero
carrion crow (bird)		corvo							carrion crow	/ˈkʰɛriən ˈkɹoʊ/	/ˈkʰæriən ˈkrəʊ/	n	A black bird that feeds on dead animals.		corneja negra						corbeau freux						Aaskrähe						corba						cornacchia nera
corvid		corvídeo							corvid	/ˈkʰɔrvəd/	/ˈkʰɔːvɪd/	n	A bird belonging to the crow family, including crows, ravens, and magpies.		córvido						corvidé						corvidé						còrvid						corvide
butt (n)(pron)		nádegas							butt	/ˈbət/	/ˈbʌt/	n	The rear part of the body; also, the end of something.		nalgas						fesses						Po						bes						culo
data (n)(pron)		dados							data	/ˈdeɪtə/	/ˈdeɪtə/	n	Facts, figures, or information collected for analysis.		datos						données						Daten						dades						dati
