spittle (ff)									spittle	ˈspɪtl̩	ˈspɪtᵊl	n	Saliva ejected from the mouth, often unintentionally or when speaking angrily.
crab apple (ff)									crab apple	ˈkɹæb ˈæpəl	ˈkræb ˈæpᵊl	n	A small, sour fruit from certain species of apple trees, often used in preserves.
rarer (ff)									rarer	ˈɹɛrə˞	ˈreərə	adj	Uncommon or infrequent; less common than usual.
moroseness (ff)									moroseness	mə˞ˈɹoʊsnəs	məˈrəʊsnɪs	n	A gloomy, sullen, or melancholic state.
buttresses (ff)									buttresses	ˈbətɹəsəz	ˈbʌtrəsɪz	n	Supportive structures that reinforce or hold up a building; metaphorically, something that strengthens or supports.
unspooled (ff)									unspooled	ˌənˈspuld	ʌnˈspuːld	v	Unwound or unraveled, often used figuratively for losing composure.
unmoored (ff)									unmoored	ˌənˈmʊrd	ʌnˈmʊəd	v	Detached from a stable position, often figuratively referring to losing control or focus.
to be loved is to be seen (ff)									to be loved is to be seen	tə ˈbi ˈləvd ˈɪz tə ˈbi ˈsin	tə ˈbiː ˈlʌvd ˈɪz tə ˈbiː ˈsiːn	exp	To feel acknowledged and accepted by someone who understands and values you.
sprawling (ff)									sprawling	ˈspɹɔlɪŋ	ˈsprɔːlɪŋ	v	Falling or spreading out awkwardly.
tore off (ff)									tore off	ˈtʰɔr ˈɔf	ˈtʰɔːr ˈɒf	ph v	Removed quickly or forcefully.
ran out of road (ff)									ran out of road	ˈɹæn ˈaʊt əv ˈɹoʊd	ˈræn ˈaʊt əv ˈrəʊd	exp	Reached the end of a situation or options.
till (ff)									till	ˈtʰɪl	ˈtʰɪl	n	A cash register or drawer used to store money.
crabby (ff)									crabby	ˈkɹæbi	ˈkræbi	adj	Irritable or in a bad mood.
ingratiate (ff)									ingratiate	ɪnˈɡɹeɪʃiˌeɪt	ɪŋˈɡreɪʃiːeɪt	v	To gain favor or acceptance by deliberate effort.
to be reckoned with (ff)									to be reckoned with	tə ˈbi ˈɹɛkənd ˈwɪθ	tə ˈbiː ˈrekᵊnd wɪð	exp	A force or influence that must be taken seriously.
travesty (ff)									travesty	ˈtɹævəsti	ˈtrævəsti	n	A distorted or grotesque imitation; a serious issue treated mockingly.
qualms (ff)									qualms	ˈkwɑmz	ˈkwɑːmz	n	Feelings of doubt, unease, or hesitation, often moral in nature.
put on the back foot (ff)									put on the back foot	ˈpʰʊt ˈɔn ðə ˈbæk ˈfʊt	ˈpʰʊt ɒn ðə ˈbæk ˈfʊt	exp	Placed in a defensive or disadvantaged position.
