comedy music (film genre)									comedy music	/ˈkʰɑmədi ˈmjuzɪk/	/ˈkʰɒmədi ˈmjuːzɪk/	n	A genre combining comedic elements with musical performances. Example: "Pitch Perfect".
history (film genre)									history	/ˈhɪstə˞ɹi/	/ˈhɪstᵊri/	n	Films based on historical events or periods. Example: "Braveheart".
music (film genre)									music	/ˈmjuzɪk/	/ˈmjuːzɪk/	n	Films centered around music or musicians. Example: "Whiplash".
animation (film genre)									animation	/ˌænəˈmeɪʃən/	/ˌænɪˈmeɪʃᵊn/	n	Films created using animated techniques rather than live action. Example: "Toy Story".
punk rock (film genre)									punk rock	/ˈpʰəŋk ˈɹɑk/	/ˈpʰʌŋk ˈrɒk/	n	Films that depict punk rock culture or feature punk rock music. Example: "Sid and Nancy".
world cinema (film genre)									world cinema	/ˈwɜ˞ld ˈsɪnəmə/	/ˈwɜːld ˈsɪnəmə/	n	Films produced outside of Hollywood, often referring to non-English language films. Example: "Parasite".
action/adventure (film genre)									action/adventure	/#action/adventure#/	/#action/adventure#/	n	A genre featuring fast-paced sequences, battles, and heroic quests. Example: "Indiana Jones".
black-and-white (film genre)									black-and-white	/ˌblækənˈwaɪt/	/ˈblækəndˈwaɪt/	n	Films presented in monochrome, often for artistic or historical reasons. Example: "Casablanca".
television film (film genre)									television film	/ˈtʰɛləˌvɪʒən ˈfɪlm/	/ˈtʰelɪvɪʒᵊn ˈfɪlm/	n	A film produced for broadcast on television rather than theatrical release. Example: "Duel".
japanese movies (film genre)									japanese movies	/ˌdʒæpəˈniz ˈmuviz/	/ˌdʒæpəˈniːz ˈmuːviz/	n	Films produced in Japan, often featuring distinct storytelling and cinematography. Example: "Seven Samurai".
chinese movies (film genre)									chinese movies	/tʃaɪˈniz ˈmuviz/	/#chinese# ˈmuːviz/	n	Films produced in China, including martial arts and historical dramas. Example: "Hero".
tamil cinema (film genre)									tamil cinema	/ˈtʰæmɪl ˈsɪnəmə/	/#tamil# ˈsɪnəmə/	n	Films produced in the Tamil language, originating from South India. Example: "Baahubali".
detective fiction (film genre)									detective fiction	/dɪˈtʰɛktɪv ˈfɪkʃən/	/dɪˈtʰektɪv ˈfɪkʃᵊn/	n	Films centered around detective work and crime-solving. Example: "Sherlock Holmes".
tollywood (film genre)									tollywood	/#tollywood#/	/#tollywood#/	n	Films produced in the Telugu language, part of Indian cinema. Example: "RRR".
musical drama (film genre)									musical drama	/ˈmjuzɪkəl ˈdɹɑmə/	/ˈmjuːzɪkᵊl ˈdrɑːmə/	n	A genre where music plays a central role in dramatic storytelling. Example: "La La Land".
b movie (film genre)									b movie	/ˈbi ˈmuvi/	/ˈbiː ˈmuːvi/	n	Low-budget commercial films, often cult classics. Example: "Plan 9 from Outer Space".
supernatural (film genre)									supernatural	/ˌsupə˞ˈnætʃə˞ɹəl/	/ˌsuːpəˈnætʃᵊrᵊl/	n	Films involving supernatural beings or phenomena. Example: "The Sixth Sense".
