actor, actress									actor, actress	/ˈæktə˞ | ˈæktɹəs/	/ˈæktə | ˈæktrəs/	n	A person who performs in films, television, or theater.	She became a famous actress after starring in a blockbuster movie.
art direction									art direction	/ˈɑrt də˞ˈɹɛkʃən/	/ˈɑːt daɪˈrekʃᵊn/	n	The process of managing and overseeing the artistic aspects of a film.	The art direction in that movie was stunning, creating an immersive world.
art director									art director	/ˈɑrt də˞ˈɹɛktə˞/	/ˈɑːt daɪˈrektə/	n	The person responsible for the visual style and artistic elements of a film.	The art director worked closely with the costume designer to ensure a cohesive look.
cameo									cameo	/ˈkʰæmiˌoʊ/	/ˈkʰæmiəʊ/	n	A brief and often uncredited appearance by a well-known person in a film.	The director made a cameo in the final scene of the movie.
canonical soundtrack									canonical soundtrack	/kəˈnɑnɪkəl ˈsaʊndˌtɹæk/	/kəˈnɒnɪkᵊl ˈsaʊndtræk/	n	A soundtrack that is officially recognized as part of a film’s identity.	The film’s canonical soundtrack became a best-seller worldwide.
casting director									casting director	/ˈkʰæstɪŋ də˞ˈɹɛktə˞/	/ˈkʰɑːstɪŋ daɪˈrektə/	n	A person responsible for selecting actors for roles in a film.	The casting director spent months finding the perfect lead actor.
casting director									casting director	/ˈkʰæstɪŋ də˞ˈɹɛktə˞/	/ˈkʰɑːstɪŋ daɪˈrektə/	n	The professional who organizes and conducts auditions for a film.	The casting director held auditions in multiple cities to find fresh talent.
cinematographer									cinematographer	/ˌsɪnəməˈtʰɑɡɹəfə˞/	/ˌsɪnɪməˈtʰɒɡrəfə/	n	The person in charge of the camera and lighting techniques in filmmaking.	The cinematographer used innovative angles to enhance the storytelling.
cinematography									cinematography	/ˌsɪnəməˈtʰɑɡɹəfi/	/ˌsɪnəməˈtʰɒɡrəfi/	n	The art and technique of capturing visual images for film.	The cinematography in that film was breathtaking, with stunning landscapes.
costume design									costume design	/ˈkʰɑˌstum dɪˈzaɪn/	/ˈkʰɒstjuːm dɪˈzaɪn/	n	The creation and selection of costumes for characters in a film.	The costume design reflected the historical period of the story.
costume design by									costume design by	/ˈkʰɑˌstum dɪˈzaɪn ˈbaɪ/	/ˈkʰɒstjuːm dɪˈzaɪn baɪ/	n	A credit given to the person responsible for designing the costumes in a film.	The end credits listed "Costume Design by Jane Doe."
costume designer									costume designer	/ˈkʰɑˌstum dɪˈzaɪnə˞/	/ˈkʰɒstjuːm dɪˈzaɪnə/	n	A professional responsible for designing and creating costumes for a film.	The costume designer worked closely with the director to achieve the film’s aesthetic.
cut type									cut type	/ˈkʰət ˈtʰaɪp/	/ˈkʰʌt ˈtʰaɪp/	n	A specific way of editing a film to achieve a desired effect.	The director used a jump cut type to intensify the action scenes.
