ID (FIELDS)	image	pt_word	pt_word_art	pt_ipa_PT	pt_ipa_BR	pt_type_gender	pt_notes	pt_marker	en_word	en_ipa_US	en_ipa_UK	en_type	en_notes	en_marker	es_word	es_ipa_ES	es_IPA_LA	es_type_gender	es_notes	es_marker	fr_word	fr_word_art	fr_ipa	fr_type_gender	fr_notes	fr_marker	de_word	de_word_art	de_ipa	de_type_gender	de_notes	de_marker	val_word	val_ipa	cat_ipa	val_type_gender	val_notes	val_marker	it_word	it_ipa	it_gender	it_notes	it_marker	en_pron	pt_pron	es_pron	fr_pron	de_pron	it_pron	val_pron	Portugues::Vocabulario::Animais Tags Vocabulary::Animals Vocabulary::Animals::Basic
haunting		perturbador	perturbador	/pɨɾtuɾbɐˈdoɾ/	/peʁtuʁbaˈdoʁ/	adj m	Que causa perturbação ou inquietação; inquietante.		haunting	/ˈhɔntɪŋ/	/ˈhɔːntɪŋ/	adj	Unforgettable and deeply evocative, often producing an emotional or eerie impression.	A haunting film which stayed with me long after I left the cinema.	inquietante						hanté						spukhaft						esgarrifós						ossessionante												
moving		comovente	comovente	/kumuˈvẽtɨ/	/komoˈvẽtʃi/	adj m/f	Que provoca emoção ou comoção; emocionante.		moving	/ˈmuvɪŋ/	/ˈmuːvɪŋ/	adj	Causing strong feelings of sadness, sympathy, or admiration.	A wonderful story. So moving I cried!	emocionante						émouvant						bewegend						emocionant						commovente												
gripping		cativante	cativante	/kɐtiˈvɐ̃tɨ/	/katʃiˈvɐ̃tʃi/	adj m/f	Que atrai, encanta ou prende a atenção.		gripping	/ˈɡɹɪpɪŋ/	/ˈɡrɪpɪŋ/	adj	Extremely interesting and exciting, holding your attention tightly.	Such a gripping plot. I was on the edge of my seat all the way through.	apasionante						captivant						packend						apassionant						appassionante												
heart-warming		comovente	comovente	/kumuˈvẽtɨ/	/komoˈvẽtʃi/	adj m/f	Que desperta emoção ou sentimento profundo.		heart-warming	/ˈhɑrtˈwɔrmɪŋ/	/ˈhɑːtˈwɔːmɪŋ/	adj	Producing feelings of happiness and affection.	It was a heart-warming story which restored my faith in human nature.	conmovedor						réchauffant le cœur						herzerwärmend						emocionant						riscaldante il cuore												
fast-moving		dinâmico	dinâmico	/diˈnɐmiku/	/dʒiˈnɐmiku/	adj m	Que tem movimento ou energia; ativo.		fast-moving	/ˈfæstˈmuvɪŋ/	/ˌfɑːstˈmuːvɪŋ/	adj	With a quick pace, often full of action or events.	A fast-moving story which jumps from past to present and back again at breakneck speed.	rápido						dynamique						schnelllebig						dinàmic						dinamico												
intriguing		intrigante	intrigante	/ĩtɾiˈɡɐ̃tɨ/	/ĩtɾiˈɡɐ̃tʃi/	adj m/f	Que desperta curiosidade ou mistério; misterioso.		intriguing	/ɪnˈtɹiɡɪŋ/	/ɪnˈtriːɡɪŋ/	adj	Interesting because it is unusual or mysterious.	The plot was intriguing, I really couldn't predict how it would end.	intrigante						intrigant						fesselnd						intrigant						intrigante												
thought-provoking		estimulante	estimulante	/ʃtimuˈlɐ̃tɨ/	/istʃimuˈlɐ̃tʃi/	adj m/f	Que incentiva, motiva ou estimula.		thought-provoking	/ˈθɔtpɹəˈvoʊkɪŋ/	/ˈθɔːtprəˈvəʊkɪŋ/	adj	Making you think deeply about a subject or issue.	A thought-provoking documentary that raised many interesting questions.	que da qué pensar						stimulant						zum Nachdenken anregend						que fa pensar						stimolante												
creepy		assustador	assustador	/ɐsuʃtɐˈdoɾ/	/asustaˈdoʁ/	adj m	Que provoca medo ou susto; aterrorizante.		creepy	/ˈkɹipi/	/ˈkriːpi/	adj	Causing an unpleasant feeling of fear or unease.	A ghostly atmosphere and strange goings-on. This film was just too creepy for me.	espeluznante						effrayant						gruselig						espantós						spaventoso												
heavy-going		pesado	pesado	/pɨˈzadu/	/peˈzadu/	adj m	De difícil digestão emocional; opressivo.		heavy-going	/ˈhɛviˈɡoʊɪŋ/	/ˈheviˈɡəʊɪŋ/	adj	Difficult to read or understand due to its complexity or style.	Rather heavy-going I really had to make an effort to finish it.	pesado						ardu						dicht						feixuc						pesante												
implausible		inverosímil	inverosímil	/ĩvɨɾuˈzimiɫ/	/ĩveɾoˈzimiw/	adj m/f	Difícil de acreditar; pouco provável.		implausible	/ɪmˈplɔzəbəl/	/ɪmˈplɔːzɪbᵊl/	adj	Not seeming reasonable or probable.	The characters were totally implausible, I couldn't take any of them seriously.	inverosímil						peu plausible						unglaubwürdig						inversemblant						implausibile												
ghostly atmosphere		atmosfera fantasmagórica	a atmosfera fantasmagórica	/ɐ ɐtmuˈʃfeɾɐ fɐ̃tɐʒmɐˈɡɔɾikɐ/	/a atmosˈfeɾɐ fɐ̃taʒmaˈɡɔɾikɐ/	sf	Ambiente que evoca fantasmas ou assombrações.		ghostly atmosphere	/ˈɡoʊstli ˈætməˌsfɪr/	/ˈɡəʊstli ˈætməsfɪə/	exp	A setting or mood that feels eerie or supernatural.	A ghostly atmosphere and strange goings-on. This film was just too creepy for me.	atmósfera fantasmal						ambiance fantomatique						geisterhafte Atmosphäre						atmosfera fantasmal						atmosfera spettrale												
strange goings-on		acontecimentos estranhos	os acontecimentos estranhos	/uz ɐkõtɨsiˈmẽtuʃ ʃˈtɾɐɲuʃ/	/uz akõtesiˈmẽtus isˈtɾɐɲus/	smp	Eventos fora do comum; incomuns ou bizarros.		strange goings-on	/ˈstɹeɪndʒ ˌɡoʊɪŋzˈɔn/	/ˈstreɪndʒ ˌɡəʊɪŋzˈɒn/	exp	Unusual or unexplained events or occurrences.	A ghostly atmosphere and strange goings-on. This film was just too creepy for me.	sucesos extraños						événements étranges						seltsame Ereignisse						sucesos estranys						strani avvenimenti												
screenplay		roteiro	o roteiro	/u ʁuˈtɐjɾu/	/u ʁoˈtejɾu/	sm	O texto que descreve as cenas de um filme; guião.		screenplay	/ˈskɹinˌpleɪ/	/ˈskriːnpleɪ/	n	The written script of a film, including dialogue and instructions for actors and crew.		guion						scénario						Drehbuch						guió						sceneggiatura												
film adaptation		adaptação cinematográfica	a adaptação cinematográfica	/ɐ ɐdɐptɐˈsɐ̃w̃ sinɨmɐtuˈɡɾafikɐ/	/a adaptaˈsɐ̃w̃ sinematoˈɡɾafikɐ/	sf	A transposição de uma obra literária para o cinema.		film adaptation	/ˈfɪlm ˌæˌdæpˈtʰeɪʃən/	/ˈfɪlm ˌædəpˈtʰeɪʃᵊn/	n	The conversion of a book or other source material into a movie.		adaptación cinematográfica						adaptation cinématographique						Filmadaption						adaptació cinematogràfica						adattamento cinematografico												
timing		tempo	o tempo	/u ˈtẽpu/	/u ˈtẽpu/	sm	A sucessão de momentos em uma narrativa ou filme.		timing	/ˈtʰaɪmɪŋ/	/ˈtʰaɪmɪŋ/	n	The control of when something happens, often crucial in storytelling or performances.		momento						tempo						Timing						temps						tempo												
key scenes		cenas-chave	as cenas-chave	/ɐʃ sɨnɐsˈʃavɨ/	/aʃ senasˈʃavi/	sfp	Cenas importantes ou determinantes em um filme ou livro.		key scenes	/ˈkʰi ˈsinz/	/ˈkʰiː ˈsiːnz/	n	Important or pivotal moments in a film or book.		escenas clave						scènes clés						schlüsselszenen						escenes clau						scene chiave												
cinemagoer		cinéfilo, cinéfila	o cinéfilo, a cinéfila	/u siˈnɛfilu | ɐ siˈnɛfilɐ/	/u siˈnɛfilu | a siˈnɛfilɐ/	sm / sf	Pessoa que aprecia o cinema profundamente; amante do cinema.		cinemagoer	/ˈsɪnəməˌɡoʊə˞/	/ˈsɪnəməˌɡəʊə/	n	A person who frequently attends the cinema.		cinéfilo						cinéphile						Kinogänger						cinèfil						cinofilo												
film buff		amante do cinema	o amante do cinema	/u ɐˈmɐ̃tɨ du siˈnɛmɐ/	/u ɐˈmɐ̃tʃi du siˈnɛmɐ/	sm	Indivíduo que gosta ou aprecia filmes.		film buff	/ˈfɪlm ˈbəf/	/ˈfɪlm ˈbʌf/	n	A person with a passionate interest in films and filmmaking.		amante del cine						passionné de cinéma						Filmfan						amant del cinema						appassionato di cinema												
theme		tema	o tema	/u ˈtɛmɐ/	/u ˈtɛmɐ/	sm	O assunto principal de um livro ou filme.		theme	/ˈθim/	/ˈθiːm/	n	The central idea or underlying message in a story or film.		tema						thème						Thema						tema						tema												
character		personagem	o/a personagem	/ˈɔɐ pɨɾsuˈnaʒɐ̃j̃/	/ˈɔɐ peʁsoˈnaʒẽj̃/	s m/f	Figura fictícia ou real representada em uma narrativa.		character	/ˈkʰɛrɪktə˞/	/ˈkʰærɪktə/	n	A person, animal, or entity portrayed in a story or film.		personaje						personnage						Charakter						personatge						personaggio												
scene 		cena	a cena	/ɐ ˈsɛnɐ/	/a ˈsɛnɐ/	sf	Parte ou segmento de uma obra cinematográfica ou teatral.		scene 	/ˈsin/	/ˈsiːn/	n	A single piece of action or event in a film or play.		escena						scène						Szene						escena						scena												
casting		elenco	o elenco	/u iˈlẽku/	/u iˈlẽku/	sm	Conjunto de atores que participam de uma peça, filme ou série.		casting	/ˈkʰæstɪŋ/	/ˈkʰɑːstɪŋ/	n	The process of selecting actors for specific roles in a film or play.		reparto						casting						Besetzung						repartiment						casting												
narrative		narrativa	a narrativa	/ɐ nɐʁɐˈtivɐ/	/a naʁaˈtʃivɐ/	sf	Forma de contar ou apresentar uma história.		narrative	/ˈnɛrətɪv/	/ˈnærətɪv/	n	A spoken or written account of connected events; a story.		narrativa						narration						Erzählung						narrativa						narrativa												
