sylvatic		silvático	o silvático	u siɫˈvatiku	u siwˈvatʃiku	sm	Relativo a florestas ou selvas.		sylvatic	sɪlˈvætɪk	sɪlˈvætɪk	adj	Occurring in or affecting wild animals; sylvatic diseases.		silvático						sylvatique						wild						forestal						selvatico												English::Vocabulary Vocabulary::Animals Vocabulary::Animals::English Vocabulary::Crazy_Difficult Vocabulary::Nature
roan (horse)	<img src="_roan_horse.JPG">	ruão	o ruão	u ʁuˈɐ̃w̃	u ʁuˈɐ̃w̃	sm	Cavalo de pelagem mesclada de branco e outra cor.		roan	ˈɹoʊn	ˈrəʊn	adj	A horse coat color pattern with a mix of white and colored hairs.		ruano				Los pelajes ruanos (o roanos) tienen pelos blancos en el cuerpo distribuidos de forma uniforme entre pelos pardos o negros.		rouan						Rotschimmel						ruà						roano												Vocabulary::Animals Vocabulary::Animals::English Vocabulary::Horses
bred in captivity		criado em cativeiro	criado em cativeiro	kɾiˈadu ˈɐ̃j̃ kɐtiˈvɐjɾu	kɾiˈadu ˈẽj̃ katʃiˈvejɾu	exp	Criado em ambiente fechado, não na natureza.		bred in captivity	ˈbɹɛd ˈɪn kæpˈtʰɪvəti	ˈbred ɪn kæpˈtʰɪvɪti	exp	Describes animals that have been raised by humans rather than in the wild.	The bear was bred in captivity .	criado en cautividad						élevé en captivité						in Gefangenschaft gezüchtet						criat en captivitat						allevato in cattività												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
hunted for sport		caçado por esporte	caçado por esporte	kɐˈsadu puɾ ˈʃpɔɾtɨ	kaˈsadu puʁ isˈpɔʁtʃi	exp	Prática de matar animais por prazer ou esporte.		hunted for sport	ˈhəntəd fə˞ ˈspɔrt	ˈhʌntɪd fə ˈspɔːt	exp	Describes animals that are killed for recreation rather than survival.	Some animals are hunted for sport.	cazado por deporte						chassé pour le sport						zum Sport gejagt						cacat per esport						cacciato per sport												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
live in the wild		viver na natureza	viver na natureza	viˈveɾ ˈna nɐtuˈɾɛzɐ	viˈveʁ ˈna natuˈɾɛzɐ	exp	Viver em seu habitat natural, sem cativeiro.		live in the wild	ˈlɪv ˈɪn ðə ˈwaɪəld	ˈlɪv ɪn ðə ˈwaɪld	exp	Describes animals that live in their natural habitat without human interference.	There is a national park nearby where animals live in the wild .	vivir en libertad						vivre dans la nature						in freier Wildbahn leben						viure en llibertat						vivere allo stato brado												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
a dark horse		um azarão	um azarão	ˈũ ɐzɐˈɾɐ̃w̃	ˈũ azaˈɾɐ̃w̃	exp	Cavalo subestimado, mas com potencial vencedor.		a dark horse	ə ˈdɑrk ˈhɔrs	ə ˈdɑːk ˈhɔːs	exp	A person who keeps their abilities or intentions hidden.	I think James was married before, but I’m not sure. He’s a bit of a dark horse .	un tapado						un outsider						ein Außenseiter						un desconegut						un outsider												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
do all the donkey work		fazer todo o trabalho pesado	fazer todo o trabalho pesado	fɐˈzeɾ ˈtɔdu u tɾɐˈbaʎu pɨˈzadu	faˈzeʁ ˈtɔdu u tɾaˈbaʎu peˈzadu	exp	Realizar tarefas mais difíceis ou cansativas.		do all the donkey work	ˈdu ˈɔl ðə ˈdɑŋki ˈwɜ˞k	ˈduː ˈɔːl ðə ˈdɒŋki ˈwɜːk	exp	To do the hard, tedious, or less rewarding part of a task.	I did all the donkey work for this project. I hope to get some credit for it.	hacer todo el trabajo sucio						faire tout le sale boulot						die Drecksarbeit machen						fer tota la feina bruta						fare tutto il lavoro sporco												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
her bark is worse than her bite		o latido é pior que a mordida dela	o latido é pior que a mordida dela	u lɐˈtidu ˈɛ piˈɔɾ kɨ ɐ muɾˈdidɐ ˈdɛlɐ	u laˈtʃidu ˈɛ piˈɔʁ ki a moʁˈdʒidɐ ˈdɛlɐ	exp	Expressão sobre ameaças vazias.		her bark is worse than her bite	ˈhɜ˞ ˈbɑrk ˈɪz ˈwɜ˞s ˈðæn ˈhɜ˞ ˈbaɪt	ˈhɜː ˈbɑːk ˈɪz ˈwɜːs ðæn ˈhɜː ˈbaɪt	exp	Someone who seems aggressive but is actually not harmful.	My boss can seem quite aggressive, but in fact her bark is worse than her bite .	perro ladrador, poco mordedor						chien qui aboie ne mord pas						Hunde, die bellen, beißen nicht						el seu lladruc és pitjor que la seua mossegada						il suo abbaiare è peggio del suo mordere												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
kill two birds with one stone		matar dois coelhos com uma cajadada só	matar dois coelhos com uma cajadada só	mɐˈtaɾ ˈdojʃ kuˈɐʎuʃ ˈkõ ˈumɐ kɐʒɐˈdadɐ ˈsɔ	maˈtaʁ ˈdojs koˈeʎus ˈkõ ˈumɐ kaʒaˈdadɐ ˈsɔ	exp	Realizar duas tarefas com um único esforço.		kill two birds with one stone	ˈkʰɪl ˈtʰu ˈbɜ˞dz ˈwɪθ ˈwən ˈstoʊn	ˈkʰɪl ˈtʰuː ˈbɜːdz wɪð ˈwʌn ˈstəʊn	exp	To accomplish two things at once with a single effort.	The meeting is in Manchester so I can visit my mother and kill two birds with one stone .	matar dos pájaros de un tiro						faire d’une pierre deux coups						zwei Fliegen mit einer Klappe schlagen						matar dos pardals d'un tir						accoppare due piccioni con una fava												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
like a fish out of water		como um peixe fora d’água	como um peixe fora d’água	ˈkɔmu ˈũ ˈpɐjʃɨ ˈfɔɾɐ ˈdaɡwɐ	ˈkɔmu ˈũ ˈpejʃi ˈfɔɾɐ ˈdaɡwɐ	exp	Estar fora de seu ambiente natural.		like a fish out of water	ˈlaɪk ə ˈfɪʃ ˈaʊt əv ˈwɔtə˞	ˈlaɪk ə ˈfɪʃ ˈaʊt əv ˈwɔːtə	exp	Feeling uncomfortable or out of place in a situation.	He was like a fish out of water when we moved to London.	como pez fuera del agua						comme un poisson hors de l'eau						wie ein Fisch auf dem Trockenen						como un peix fora de l'aigua						come un pesce fuor d'acqua												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
